Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:203c:4953:72f:6539:eb62,São Paulo,2022-12-21T15:52:22.896Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.177.122.91,Paraná,2022-12-21T03:08:36.561Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:203c:fd24:7da6:8685:ff3e,São Paulo,2022-12-21T01:08:00.884Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.154,Paraná,2022-12-20T20:31:31.494Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,187.19.103.120,Paraná,2022-12-20T17:47:08.666Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:203c:4953:72f:6539:eb62,São Paulo,2022-12-20T16:14:48.029Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:2eb:4953:72f:6539:eb62,São Paulo,2022-12-20T05:08:55.452Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.42.57.229,Paraná,2022-12-20T02:22:42.730Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:2eb:6089:8c68:c736:51b,São Paulo,2022-12-20T00:27:00.200Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:eed0:4953:72f:6539:eb62,São Paulo,2022-12-19T05:36:55.125Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:eed0:4953:72f:6539:eb62,São Paulo,2022-12-18T21:15:56.902Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.42.60.119,Paraná,2022-12-18T21:13:06.357Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:692:4953:72f:6539:eb62,São Paulo,2022-12-18T14:42:01.515Z
